#,Date - Time,TX Bytes,RX Bytes
154,2018-10-27 10:00:00+00:00,42169517055,26766823324
155,2018-10-27 11:00:00+00:00,30626002338,24791562703
156,2018-10-27 12:00:00+00:00,34364105012,24150702681
157,2018-10-27 13:00:00+00:00,32032465555,29385320155
158,2018-10-27 14:00:00+00:00,42462920677,29378107986
159,2018-10-27 15:00:00+00:00,45829236700,30427101170
160,2018-10-27 16:00:00+00:00,45974743080,30660274943
161,2018-10-27 17:00:00+00:00,46167117556,32545754693
162,2018-10-27 18:00:00+00:00,48416078427,29930543442
163,2018-10-27 19:00:00+00:00,45837999274,29208752277
164,2018-10-27 20:00:00+00:00,35258501884,28750620722
165,2018-10-27 21:00:00+00:00,34229008090,28577749895
166,2018-10-27 22:00:00+00:00,31747519099,28676304807
167,2018-10-27 23:00:00+00:00,32645876601,27684607822
168,2018-10-28 00:00:00+00:00,32792305785,30717583256
